TitleVideo,Link,View,Date,Thumb
SYLAS PK HẾT NƯỚC CHẤM TRONG TAY SOFM - GAME NÀY HƠI KUTE HAY SAO ẤY NHỈ ? | SOFM DAILY STREAM,https://www.youtube.com/watch?v=8Rr2J0nRTGE,40K views,11 months ago,https://i.ytimg.com/vi/8Rr2J0nRTGE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDm45RWCgxRLWQvuYQULIjoBcM3ww
SOFM TRỞ LẠI KHU RỪNG VỚI CON BÀI KHAZIX - 15 PHÚT GG | SOFM DAILY STREAM,https://www.youtube.com/watch?v=zbUgjfT6c5w,116K views,11 months ago,https://i.ytimg.com/vi/zbUgjfT6c5w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDD0OJMh1b38NZhNYzhnTMAb-Grdg
CẨM NANG CHINH PHỤC VỊ TƯỚNG MỚI NHẤT LMHT - GAME LÀ DỄ ? | SOFM DAILY STREAM,https://www.youtube.com/watch?v=qg80qyOpHXk,92K views,11 months ago,https://i.ytimg.com/vi/qg80qyOpHXk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCLbWsthjDwa3Tku1C4nttDs8Ra_g
SOFM CÔNG KHAI GÓC LIVESTREAM MỚI ?  - CÁCH ĐỂ CHƠI GAME CHILL CHILL | SOFM DAILY STREAM,https://www.youtube.com/watch?v=M4cHLL1VjdM,38K views,1 year ago,https://i.ytimg.com/vi/M4cHLL1VjdM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCg-NvL-eC_79m4EC1wTtlxG-zLXw
KÈO PK CỰC CĂNG VỚI EM DẾ - PHÁ ĐẢO CUSTOM THẦY GIÁO BA VÀ CÁI KẾT | SOFM DAILY STREAM,https://www.youtube.com/watch?v=rx_f_KLaurY,63K views,1 year ago,https://i.ytimg.com/vi/rx_f_KLaurY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAT0dg6j-uuiNI3q6Tad9UJ9nBgMA
PHÁ ĐẢO CUSTOM THẦY GIÁO BA VỚI POPPY - KÈO CỰC KÌ PK VỚI ZEROS | SOFM DAILY STREAM,https://www.youtube.com/watch?v=g2nbNPZ3cJw,83K views,1 year ago,https://i.ytimg.com/vi/g2nbNPZ3cJw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCNsUM4pyO3rMiQmc5nxpeo-HtNUw
GIÁO ÁN KAYLE ĐI MID QUÁ TÍN ĐẾN TỪ SOFM - KÈO SOLO 1 VS 1 CỰC CĂNG | SOFM DAILY STREAM,https://www.youtube.com/watch?v=qrVxPSiD7_8,66K views,1 year ago,https://i.ytimg.com/vi/qrVxPSiD7_8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBg4mEe5sWtEuaVYZnjfldoAWAVlg
SOFM ĐÃ THẮNG TRÊN THẾ THUA NHƯ THẾ NÀO ? - CHILL CHILL ĐẦU GAME VÀ CÁI KẾT | SOFM DAILY STREAM,https://www.youtube.com/watch?v=BbMxza0N3BQ,51K views,1 year ago,https://i.ytimg.com/vi/BbMxza0N3BQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCWXUNgOfMWlXPycwEbSl7FyuANtQ
CÁCH MÀ SOFM GIÚP ABA PHÁ VỠ KỈ LỤC ? - MẬT VỤ SUSAN 0175 ĐÃ LÀ QUÁ KHỨ | SOFM DAILY STREAM,https://www.youtube.com/watch?v=9la47MVtEMo,128K views,1 year ago,https://i.ytimg.com/vi/9la47MVtEMo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAbw6cMzAQ8Gi6O21OX-M9vY7hHHw
TRUNG BÌNH 1 NGÀY ĐÁNH RANK CỦA SOFM - CON AZIR RỒNG BAY PHƯỢNG MÚA | SOFM DAILY STREAM,https://www.youtube.com/watch?v=_9rxxyEWOyk,65K views,1 year ago,https://i.ytimg.com/vi/_9rxxyEWOyk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD1YlxU4quFSA00ib3Ac4KKCsdWhQ
